"","X","lyrics","song","year","album","peak","us_pop","us_rnb","decade","chart_level","charted"
"11",234,"all of this and more is for you with love  sincerity and deepest care my life with you i share","for you",1978,"For You",21,"163","21","1970s","Top 100","Charted"
"12",526,"oh here she come she got them gold hot pants on again yeah man i wanna talk  but i dunno she a peach she was dark  she was tan she made me glad to be a man she was young  she was smart just one glance and she stole my heart the kinda girl you wanna teach she a peach summertime  feelin  fine  getting wild all that on my mind here she come  dressed in red get her done  is all that in my head her hot pants can not hide her cheeks she a peach she was pure  every ounce i was sure  when her titties bounced every way  she a winner turn a gay preacher to a sinner no one you want your mama meet she a peach  this is a girl plays hard to get  i would die if i kissed her i would try  but i am last on her list she so cool and i am so ugly i would be a fool  to think she could love me this kinda girl always out of reach she a peach peach   with that","peach",1993,"Other Songs",14,"107","-","1990s","Top 100","Charted"
"13",677,"i can not disguise the pounding of my heart it beats so strong it in your eyes what can i say they turn me on i do not care where we go i do not care what we do i do not care pretty baby just take me with u come on and touch the place in me that calling out your name we want each other  oh so much why must we play this game  do not care where we go i do not care what we do i do not care pretty baby just take me with u i do not care if we spend the night at your mansion i do not care if we spend the night on the town all i want is to spend the night together all i want is to spend the night in your arms to be around you is so oh right you are sheer perfection  thank you  drive me crazy  drive me all night just do not break up the connection i do not care where we go i do not care what we do i do not care pretty baby just take me with u i do not care where we go i do not care what we do i do not care pretty baby just take me with u just take me with u oh  will not you take me with u honey take me with u","take me with u",1984,"Purple Rain",25,"25","-","1980s","Top 100","Charted"
"14",753,"thunder all through the night promise to see jesus in the morning light take my hand  it will be alright c amon save your soul tonight oh thunder  yeah  yeah  yeah  yeah yeah  yeah  yeah  yeah love  nobody know just how it was born love first came to me with the radio on jumped up in my body with an attitude kissed me on the mouth and said   your leader take me to  it was like thunder all through the night and a promise to see jesus in the morning light love say         take my hand  it will be alright c amon save your soul tonight  love kiss was running all through my veins the bed started shakin   i do not know who to blame me or this flower right in front of my eyes is this my sweet savior or the devil in disguise it was like thunder all through the night and promise to see jesus in the morning light love say   take my hand  it will be alright c amon save your soul tonight  thunder hey  hey yeah yeah yeah yeah    it was truly truly  and like rain falling on a window pane tears came to my eyes when i asked her name made me holler when it finally came said   only the children born of me will remain  it was like thunder all through the night and a promise to see jesus in the morning light love say   take my hand  it will be alright c amon save your soul tonight  thunder it will be all right  it was truly like thunder  do not do it like that  do it like this oh oh  thunder  oh oh  thunder  oh oh thunder    thunder  thunder    it was truly truly like  like thunder all through the night    thunder   thunder yeah  promise to see jesus in the morning light    it will be all right  love say   take my hand  it will be alright    it gonna be alright  c amon save your soul tonight     ooh thunder  thunder  thunder yeah yeah yeah thunder ooh thunder thunder thunder thunder thunder    ","thunder",1991,"Diamonds and Pearls",3,"n/a","n/a","1990s","Top 10","Charted"
"15",258,"club mix club mix how can i put this in a way so as not to offend or unnerve there a rumor goin  all round that you ai not been gettin  served they say that you ai not you know what and baby who knows how long it hard for me to say what right  when all i wanna do is wrong  gett off  twenty three positions in a one night stand  gett off  i will only call you after if you say i can  gett off  let a woman be a woman and a man be a man  gett off  if you want to baby here i am  here i am  i clocked the jizz from a friend of yours named vanessa bet  bet  she said you told her a fantasy that got her all wet  wet  something about a little box with a mirror and a tongue inside what she told me then got me so hot i knew that we could slide  gett off  twenty three positions in a one night stand  gett off  i will only call you after if you say i can  gett off  let a woman be a woman and a man be a man  gett off  if you want to baby here i am  here i am  gett off one  two  three nah  little cutie  i ai not drinkin   gett off  scope this  i was just thinkin  you plus me  what a ride if you was thinkin  the same we could continue outside    gett off  lay your pretty body against a parkin  meter strip your dress down like i was strippin  a peter paul almond joy lemme show you baby i am a talented boy everybody grab a body  pump it like you want somebody gett off  gett off  so here we  so here we  so here we are  here we are in my paisley crib  whatcha want to eat   ribs  ha  toy  i do not serve ribs  you better be happy that dress is still on i heard the rip when you sat down honey them hips is gone but that alright  i clock  em that way remind me of something james used to say  i like  em fat  i like  em proud ya gotta have a   for me  now move your big ass  round this way so i can work on that zipper baby tonight you are a star and i am the big dipper kick it  gett off  gett off  gett off how can i put this in a way so as not to offend or unnerve  gett off  there a rumor goin  all round that you ai not been gettin  served  gett off  they say that you ai not you know what and baby who knows how long  gett off  it hard for me to say what right  when all i wanna do is wrong  gett off  twenty three positions in a one night stand  gett off  i will only call you after if you say i can  gett off  let a woman be a woman and a man be a man  gett off  if you want to baby here i am come on  gett off   gett off   gett off     ","gett off",1991,"Diamonds and Pearls",3,"21","6","1990s","Top 10","Charted"
"16",148,"expert lover  my baby you ever had a crystal ball  expert lover  my baby you ever had a crystal ball  ooh  expert lover  my baby ever had a crystal ball  expert lover  my baby you ever had a crystal ball  as bombs explode around us and hate advances on the right the only thing that matters  baby  is the love that we make tonight as little babies in make up terrorize the western world the only thing that matters  baby  is love between a boy and girl oh  expert lover  my baby you ever had a crystal ball  undercover  no maybe all for fun and fun for all i can not remember my baby voice  cuz she ai not talkin  no more only the sound of love and prayer echo from the yellow floor  yellow floor she sayin    dear jesus  save us from temptation  dear jesus save us from hell  save us from the madness that threatens us all  can you hear us  it hard to tell  in your name we pray expert lover  my baby ever had a crystal ball  undercover  no maybe all for fun  fun for all as soldiers draw swords of sorrow my baby draws pictures of sex  yes  she does all over the walls in graphic detail  sex everybody say it now expert lover  my baby ever had a crystal ball  under  undercover  no maybe all for fun and fun for all rip it  ouch expert lover  my baby ever had a crystal ball  expert lover  my baby ever had a crystal ball  crystal ball expert my baby  my baby  my baby  my baby kiss me  lick me  trick me  yeah  yeah come on  come on  come on  will not you come on  expert lover  my baby have you ever had a crystal ball  do not you wanna  what my drummer wanna say  what my drummer wanna say  yeah  drummer  tell me what the bass said yeah  listen to my  listen to my bass man play alright  expert lover  my baby is alright alright  undercover  my baby is alright listen to the guitar play hey  wait a minute now it groovy  ouch  guitar  guitar come on now  yeah my baby licked me fast her mama watch her gas come on  baby  do me fast come on  come on your mathematical gas darlin   darlin   you know you want a cry  crystal ball  crystal ball i do not know  i have to ask my mommy first as bombs explode around you and hate advances on your right the only thing u can be sure of is the love we make tonight expert lover  my baby ever had a crystal ball  take off your clothes  baby come on  get the crystal ball expert lover  my baby you ever had a crystal ball  come on  take off your clothes  baby come on  get the crystal ball come on  expert lover  my baby ever had a crystal ball  my baby  my baby  my baby come on  get the  get the  get the crystal ball you ever had a crystal ball ","crystal ball",1998,"Crystal Ball",59,"62","59","1990s","Top 100","Charted"
"17",405,"ready or not  here i come  come on  come on  all my life i have kept my feelings deep inside never was a reason to let somebody know lover here  lover there  who cried  who cared  foolish pride never was a good seat at any of this man shows until now all i wanted to do is do  do  do what i do  and bang  bang  bang on the drummer and love so and so but now i have got to letitgo  letitgo  lay back and let the vibe just flow i wanna just letitgo  letitgo  lay back and let my feelings show  letitgo  i am ready for the real give me something i can feel all my life this heart been under lock and key my curtains were drawn there was not nobody home trigger here  trigger there  everybody high except for me better off dead if i could not be alone until now all i wanted to do is do  do  do what i do  and bang  bang  bang on the drummer and love so and so but now i have got to letitgo  letitgo  lay back and let the vibe just flow i wanna just letitgo  letitgo  lay back and let my feelings show i  i am ready for the real give me something i can feel fourteen years and tears  i have longed to sing my song but a horse could not drag your ass to put me on but now i have got an army and we are three million strong this song will ring in your ears when we are gone until now all i wanted to do is do  do  do what i do  and bang  bang  bang on the drummer and love so and so but now i want to letitgo  letitgo  lay back and let the vibe just flow said i want to letitgo  letitgo  lay back and let the feelings show i am ready for the real come a little closer letitgo  lay back and let the vibe just flow","letitgo",1994,"Come",10,"31","10","1990s","Top 10","Charted"
"18",704,"the greatest romance that ever been sold so whatdya know  you and me finally face to face checkin  each other up and down in all of the obvious places was there ever a reason for us to be apart  the air that fills up this room says   not hardly  so this is where you end and you and i begin  this is where you and i  you and i begin  the greatest romance that ever been sold the greatest romance that ever been sold baby  baby now your mind is open to poetry seldom heard your heart has never been broken until you have heard these words your body was designed to respond to mine in spite of your desire to mold me and in the middle of it all we kiss and like rain we fall into    like rain  we fall  the greatest romance that ever been sold  oh baby  oh baby  baby  the greatest romance that ever been sold oh  i know you feel me  i know that you can dance  help  but what do you know about the greatest romance  not what you think  but what you believe  tell me   what was the real reason that adam never left eve  and if the truth sounds like a memory then you know it was meant to be  meant to be leave your inhibitions behind come on  come on  let see  what  why   so this is where you end  this is where you end  and you and i begin  you  the greatest romance that ever been sold the greatest romance that ever been sold i know you can feel me  i know you can dance    i know  what do you know about the greatest romance   the greatest romance  not what you think but what you believe can you tell me the real reason that adam never left eve  the greatest romance that ever been sold    greatest romance  listen to me  you brought me the grapes from the vine oh yes  you did the greatest romance that ever been sold can i talk to you   talk to you  listen  if you help me to remember the secrets of time and you  you  you  you offer me your love your love  your love so divine and in return  girl  in return  i will surrender oh yeah  i will surrender  oh yes  i will the greatest romance that ever been sold","the greatest romance ever sold",1999,"Rave Un2 the Joy Fantastic",23,"63","23","1990s","Top 100","Charted"
"19",531,"imagine holding planet earth in the palm of your hand with no regard for your place of birth or claim to any land the only thing between us now is the truth we understand if planet earth was in the palm of your hand 50 years from now what will they say about us here  did we care for the water and the fragile atmosphere  there are only two kinds of folk and the difference they make the ones that give and the ones that take just like the countless bodies that revolve around the sun planet earth must now come into balance with the one that caused it all to be and then we will see his kingdom come so shall it be written  shall be sung imagine you could rid the earth of anyone you choose which ones would you need the most and which ones would you lose  do we wanna judge another lest we be judged too  careful now  the next one might be you  yeah just like the countless bodies that revolve around the sun planet earth must now come into balance with the one that caused it all to be and then we will see his kingdom come so shall it be written  shall be sung imagine sending your first born off to fight a war with no good reason how it started and what they are fighting for and if they are blessed to make it home  will they still be poor  pray for peace right now and forever more just like the countless bodies that revolve around the sun planet earth must now come into balance with the one that caused it all to be and then we will see his kingdom come so shall it be written  shall be sung just like the countless bodies that revolve around the sun planet earth must now come into balance with the one that caused it all to be and then we will see his kingdom come so shall it be written  shall be sung  shall be sung so shall it be written  so shall it be sung","planet earth",2007,"Planet Earth",1,"3","1","2000s","Top 10","Charted"
"20",487,"it been 7 hours and 13 days since you took your love away i go out every night and sleep all day since you took your love away since you have been gone i can do whatever i want i can see who ever i choose eat my dinner in a fancy restaurant  oh yeah but nothing  nothing can take away these blues nothing compares  nothing compares 2 u oh baby it been so lonely without you here i am like a bird without a song nothin  can stop this lonely rain from fallin  tell me baby  where did i go wrong  oh baby  i can put my arms around every boy i see  oh yeah but they only remind me of you all my dames remind me of you too girl  oh yeah i went to the doctor  guess what he told me what would he tell you  guess what he told me  i am listenin  he said   rosie  what  try to have fun no matter what you do you wanna tell me why     he a fool  nothing compares no  nothing compares 2 u oh  baby all the flowers that you planted  sugar in the backyard  all died when you went away ooh baby  i know that living with me baby is sometimes hard  sometimes hard but i am willin   i am willin  to give it one more try please do you know why  do you know why  nothing compares no  nothing compares 2 u oh  baby every time i  every time i say nothing compares no  nothing compares 2 u","nothing compares 2 u",1993,"",62,"-","62","1990s","Top 100","Charted"
"21",267,"this thing we got  it alive it seems to transcend the physical one touch and i am satisfied must be a dream  it so magical glam slam thank you ma am you really make my day glam slam thank you ma am i pray you will always stay i know i hold you too tight but i just can not seem to get close enough i want to hold you every night i am so horny and you are the star glam slam thank you ma am you really make my day glam slam  thank you ma am i pray you will always stay heavy feather  flick a nipple baby  scam water ripple i do not understand it means i love you come a butterfly straight on your skin you go for  me and i come again glam slam thank you ma am sun is risen  moon is gone soda fizzin  on the lawn come a butterfly straight on your skin glam slam glam slam thank you ma am you really make my day this thing we got  it alive it seems to transcend the physical one touch and i am satisfied must be a dream  it so magical glam slam thank you ma am you really make my day glam slam thank you ma am i pray you will always stay glam slam you will always stay you will always stay it all right  it okay","glam slam",1988,"Lovesexy",11,"-","44","1980s","Top 100","Charted"
"22",273,"there a mountain and it mighty high you cannot see the top unless you fly and there a molehill of proven ground there ai not nowhere to go if you hang around everybody wants to sell what already been sold everybody wants to tell what already been told what the use of money if you ai not gonna break the mold  even at the center of fire there is cold all that glitters ai not gold all that glitters ai not gold  mm there an ocean of despair  there are people livin  there they are unhappy and each and every day but hell is not fashion  so what you tryin  to say  everybody wants to sell what already been sold everybody wants to tell what already been told what the use of money if you ai not gonna break the mold  even at the center of fire there is cold all that glitters ai not gold  no  no all that glitters ai not gold  no  no there a lady  99 years old if she led a good life  heaven takes her soul now  that a theory and if you do not wanna know step aside and make a way for those who want to go everybody wants to sell what already been sold everybody wants to tell what already been told what the use of bein  young if you ai not gonna get old  even at the center of fire there is cold all that glitters ai not gold  no  no  no  no  no all that glitters ai not gold  alright  all that glitters all that glitters  all that glitters ai not gold na na na  na na  na  na na  na na  gold  gold  gold  gold  na na na  na na  na  na na  na na  gold  gold  gold  gold  gold  gold  gold all that glitters ai not gold  gold  gold all that glitters ai not gold  gold  gold  na na na  na na  na  na na  na na  all that glitters ai not gold  gold  gold  na na na  na na  na  na na  na na  all that glitters ai not gold  oh  oh yeah one  two  one  two  three  let go na na na  na na  na  na na  na na na na na  na na  na  na na  na na na na na  na na  na  na na  na na  na na na  na na  na  na na  na na  you are now an official member of the new power generation welcome to the dawn  na na na  na na  na  na na  na na  all that glitters ai not  na na na  na na  na  na na  na na  all that glitters ai not  na na na  na na  na  na na  na na  all that glitters ai not    ","gold",1995,"The Gold Experience",10,"88","82","1990s","Top 10","Charted"
"23",686,"prince batman the arms of orion orion arms are wide enough 2 hold us both 2gether  although we are worlds apart  i would cross the stars 4 u  in the heart of a sleepless moon  i will be with u 4ever  this is my destiny till my life is through  chorus   the arms of orion  that where i wanna be  since u have been gone  i have been searching 4 a lover in the sea of tranquility  drowning without u here  my dear  when i am lost or feeling lonely  i just look 2 heaven  i find my comfort there  god only knows where u are 2night  god only knows where u are 2night  maybe time will tell me  till then i close my eyes  say a prayer 4 u   say a prayer 4 u 2   chorus  orion heart is bright enough 2 shine on both of us  the constellations never fail 2 light the way 4 love  orion arms are wide enough 2 hold us both 2gether  although we are worlds apart  i would cross the stars 4 u   i would cross the stars 4 u  chorus   oh   the arms of orion  that where i wanna be  since u have been gone i have been drowning  lost   in the sea of tranquility  lonely   drowning without u here  baby   my dear  drowning without u  oh   arms of orion  that where i wanna be  where i      that where i wanna be  the arms of orion   x2   since u have been gone  babe  since u have been gone  i have been drowning  drowning   drowning  drowning without your love  the arms of orion  arms of orion ","the arms of orion",1989,"Batman",5,"36","-","1980s","Top 10","Charted"
"24",430,"new power  new power  give it to me oh  it needs some bottom in here  lay it on me new  yeah  hey now  hey now everybody on the block say it is the best the most vital is what they say  more or less it put my name upon my thigh it make me dance  it make me cry and when i touch it  race cars burn rubber in my pants oh this feeling so good in every single way i want it morning  noon and night of everyday and if by chance i cannot have it i can not say but with it i know heaven just a kiss away  kiss away dig me  now  anyone that ever touched it they do not want nothing else  no  they do not and i got to tell the world i just can not keep it to myself  no  no all in life becomes easier no question is unresolved and i am not afraid now come on and touch it  i know you will love it with it i know heaven a butterfly kiss away this feeling so good in every single way i want it morning  noon and night of everyday and if by chance i cannot have it i can not say with it i know heaven is a just a kiss away  kiss away yeah  lovesexy no yeah yeah did you feel that  love  loves rain is wet  sugar is sweet clap your hands  stomp your feet everybody  everybody know when love call  you got to go lovesexy tonight we make love with only words girls first  girls first okay so like first  i will start by telling you how smart and intelligent a curve your behind has and then i can tell you that i can just smell you and race cars burn rubber in my pants but i really dig trippin  on the thought of being caught by somebody with your beauty  style and grace baby  i do not care i would rip out my hair for just tonights with your face i do not wanna make love to you i just wanna look at you i just wanna listen to you oh  pretty little whip  you got me drippin  drippin  all over the floor  the floor if i come back as a woman i want a body like yours  a body like yours living rooms  i think you would i think you wanna play house yeah  i think you wanna play house you do not mind  i think you i think you want me to f    inside of you yeah  yeah you want me to sit around your living room yeah  you  you want me to walk right down your halls you want me to swivel in your love seat do not you  baby  you want me to write my name on your walls you want me to write my name on we make love with only words i will make love to you tomorrow","lovesexy",1988,"Lovesexy",1,"11","5","1980s","Top 10","Charted"
