document,text,source,genre
the prodigal ill be waiting,amy grant unguarded the prodigal  i will be waiting  i face the day again against the window pane  i remain your closest friend  and wish you back again  you wonder how i feel  you think you have pushed too far  if only you could see this pen scribbling down my heart  i will be waiting  i may be young or old and gray  counting the days  but i will be waiting  and when i finally see you come  i will run when i see you   i will meet you  but still the days drag on  why did you decide to go  did you only need to see what only time can show  i will be waiting  i may be young or old and gray  counting the days  but i will be waiting  and when i finally see you come  i will run when i see you  and even if you never do return  still i will have learned how to love you better  i will be waiting  i may be young or old and gray  counting the days  but i will be waiting  and when i finally see you come  i will run to meet you  i will be waiting  i may be young or old and gray  counting the days  i will be waiting  and when i finally see you come  i will run to meet you ,amy-grant,christian
joy to the world,joy to the world  the lord is come  let earth receive her king let every heart prepare him room and saints and angels sing and saints and angels sing and saints and saints and angels sing joy to the world  the saviour reigns let saints their songs employ while fields and floods rocks  hills and plains repeat the sounding joy repeat the sounding joy repeat  repeat  the sounding joy joy to the world with truth and grace and makes the nations prove the glories of his righteousness and wonders of his love and wonders of his love and wonders and wonders of his love no more will sin and sorrow grow  nor thorns infest the ground  he will come and make the blessings flow far as the curse was found  far as the curse was found  far as  far as the curse was found  he rules the world with truth and grace  and gives to nations proof the glories of his righteousness  and wonders of his love  and wonders of his love  and wonders  wonders of his love  rejoice  rejoice in the most high  while israel spreads abroad like stars that glitter in the sky  and ever worship god  and ever worship god  and ever  and ever worship god ,amy-grant,christian
say,she said you were upset  i never knew he said you were about to come unglued she said he said i said it was true everybody talkin but you say what you want to say what you want to  dear what you want to say not what i want to hear what you want to say what you want to  dear what you want to say right here time up  time a wastin   time to explore all the feelin that you tend to ignore step up give it a shot  you have got the floor i can take it  give me what for say what you want to say what you want to  dear what you want to say not what i want to hear what you want to say what you want to  dear what you want to say right here will you look at your life  never gets old keep stuff bottled up inside  you could explode who cares how it sounds  you never know maybe it could lighten your load say what you want to say what you want to  dear what you want to say not what i want to hear what you want to say what you want to  dear what you want to say right here,amy-grant,christian
another merry christmas,have yourself a merry little christmas let your heart be light from now on  our troubles will be out of sight have yourself a merry little christmas make the yuletide gay from now on  our troubles will be miles away once again as in olden days happy golden days of yore faithful friends who are dear to us will be near to us once more through the years we all will be together if the fates allow hang a shining star upon the highest bough and have yourself a merry little christmas now,amy-grant,christian
dont try so hard with james taylor,another monday comes and i just wanna breathe  cause it a long  long week for someone wired to please i keep taking my aim  pushing it higher wanna shine bright  even brighter now wish i would tell myself do not try so hard god gives you grace and you can not earn it do not think that you are not worth it because you are he gave you his love and he not leaving gave you his son so you would believe it you are lovely even with your scars do not try so hard do you remember how the summers felt when we were kids  oh  we did not think much about it  we just lived taking our time  beautiful leisure when did we start  trying to measure up and all this time  love has been trying to tell us do not try so hard god gives you grace and you can not earn it do not think that you are not worth it because you are he gave you his love and he not leaving gave you his son so you would believe it you are lovely even with your scars do not try so hard do not try so hard do not try so hard god gives you grace you can not earn it stop thinking you are not worth it because you are he gave you his love and he not leaving gave you his son so you would believe it you are lovely even with your scars do not try so hard,amy-grant,christian
prince of peace,amy grant miscellaneous prince of peace sometimes my life just do not make sense at all and the mountains look so big  and my faith just seems so small so hold me  jesus  i am shakin  like a leaf you have been king of my glory  will not you be my prince of peace  and i wake up in the night  and feel the dark it so hard inside my soul  there must be blisters on my heart so hold me  jesus  i am shakin  like a leaf you have been king of my glory  will not you be my prince of peace  surrender do not go natural to me i would rather fight you for somethin  i do not really want than take what you have  given me and i have beat my head against so many walls  i am fallin  down  i am fallin  on  my knees and the salvation army band is playing this hymn and your grace rings out so deep  it makes my resistence seem so thin oh  hold me  jesus  i am shakin  like a leaf you have been king of my glory  will not you be my prince of peace  oh  hold me  jesus  i am shakin  like a leaf you have been king of my glory  will not you be my prince of peace ,amy-grant,christian
do you remember the time,do you remember the time your heart was moved to tears  can you look back on the moment after all these years  on the moment love broke through and heaven seemed so near do you remember the time your heart was moved to tears  do you remember the day you first let jesus in  how he gently and tenderly washed away your sin do not you know that he still cares the way he did back then  you remember the day you first let jesus in  keep holding on never letting go we are not far from the end of the road keep holding on never letting go we are not far from the end of the road in a moment love broke through and heaven seemed so near do you remember the moment your heart was moved to tears  do you remember the time your heart was moved to tears ,amy-grant,christian
little town,o little town of bethlehem how still we see thee lie above thy deep and dreamless sleep the silent stars go by yet in thy dark streets shineth the everlasting light the hopes and fears of all the years are met in thee tonight how silently  how silently the wondrous gift is given so god imparts to human hearts the blessings of his heaven we hear the christmas angels the great glad tidings tell o come to us  abide with us our lord emmanuel no ear may hear his coming but in this world of sin where meek souls will receive him still the dear christ enters in,amy-grant,christian
elshaddai,el shaddai  el shaddai  el elyon na adonai age to age you are still the same by the power of the name el shaddai  el shaddai  erkahmka na adonai we will praise and lift you high  el shaddai through your love and through the ram you saved the son of abraham through the power of your hand turned the sea into dry land to the outcast on her knees you were the god who really sees and by your might you set your children free el shaddai  el shaddai  el elyon na adonai age to age you are still the same by the power of the name el shaddai  el shaddai  erkahmka na adonai we will praise and lift you high  el shaddai through the years you made it clear that the time of christ was near though the people could not see what messiah ought to be though your word contained the plan they just would not understand your most awesome work was done through the frailty of your son el shaddai  el shaddai  el elyon na adonai age to age you are still the same by the power of the name el shaddai  el shaddai  erkahmka na adonai i will praise you till i die  el shaddai el shaddai  el shaddai  el elyon na adonai age to age you are still the same by the power of the name el shaddai  el shaddai  erkahmka na adonai i will praise you till i die  el shaddai,amy-grant,christian
stay for awhile,long time since i have seen your smile but when i close my eyes  i remember  i remember you were no more than a child but then so was i  young and tender time carries on i guess it always will but deep inside my heart time stands still stay for a while well  it good to see your smile and i love your company stay for a while and remember the day gone by for a moment it can seem just the way it used to be snowfalls  phone calls  broken hearts clear summer days  warm and lazy long walks  long talks after dark we vowed we would never forget  now it hazy time takes its toll and time alters our view it would be nice to spend some time with you oh  stay for awhile well  it good to see your smile and i love your company stay for a while and remember the day gone by for a moment it can seem just the way it used to be stay  please stay stay  stay  stay one  two  one  two stay for awhile well  it good to see your smile and i love your company oh  stay for a while and remember the day gone by for a moment it can seem just the way it used to be stay for a while oh  it good to see your smile and i love your company wo not you stay with me for a while and remember the day gone by for a moment it can seem just the way it used to be the way it used to be  be the way it used to be now  now  now  now  now  now,amy-grant,christian
the power,a king is crying from his throne he had a queen but now she gone what is this magic that we seek the mighty strong turn mighty weak every good girl hears it every bad boy fears it no matter what i see i believe  i believe the power touches me the power helps us see the power holds my hand the power drives me crazy a flower grows  an old man dies and through it all we still survive a poor man screams but no one hears ai not nothing changed much through the years every bad day needs it every good day breeds it no matter how it feels when it real you know it real stronger than any bomb that any man has ever made the power touches me the power helps us see the power holds my hand the power drives me crazy and it will not take long to understand just how amazed i am hey  hey open up your eyes and see it will not take long to understand just how amazed i am every good day needs it every bad day needs it no matter what i see i believe  i believe stronger than any bomb any man has ever made the power touches me the power helps us see the power holds my hand the power drives me crazy the power touches me the power helps us see the power holds my hand the power drives me crazy the power drives me crazy if i believe and you believe and we believe everything is gonna be all right all right it just might  the power   the power   the power   the power ,amy-grant,christian
somewhere down the road,so much pain and no good reason why you have cried until the tears run dry and nothing here can make you understand the one thing that you held so dear is slipping from your hands  and you say why  why  why does it go this way and why  why  why and all i can say is somewhere down the road there will be answers to the questions and somewhere down the road tho  we cannot see it now somewhere down the road you will find mighty arms reaching for you and they will hold the answers at the end of the road yesterday  i thought i would seen it all i thought i would climbed the highest wall now i see the learning never ends and all i know to do is keep on walking walking  round the bend singing why  why  why does it go this way and why  why  why and all i can say is somewhere down the road there will be answers to the questions and somewhere down the road tho  we cannot see it now somewhere down the road you will find mighty arms reaching for you and they will hold the answers at the end of the road oh  keep on walking why  why  why does it go this way and why  why  why and all i can say all i know to say now somewhere down the road there will be answers to the questions and somewhere down the road tho  we cannot see it now somewhere down the road you will find mighty arms reaching for you and they will hold the answers at the end of the road oh  they will hold the answers at the end of the road oh  keep on walking  oh oh  walking down the road walking down the road somewhere down this lonely road i can not see you know down the road  the lonely road somewhere down  somewhere down,amy-grant,christian
baby its cold outside feat vince gill,we do not have the lyrics for baby  it cold outside  feat  vince gill  yet ,amy-grant,christian
marching to zion,amy grant miscellaneous marching to zion marching to zion come ye that love the lord  and let your joys be known  join in a song with sweet accord  join in a song with sweet accord  and thus surround the throne  and thus surround the throne  we are marching to zion  beautiful  beautiful zion   we are marching upward to zion  the beautiful city of god then let our songs a bound and every tear be dry  we are marching through immanuel ground  we e marching through immanuel  ground  to fairer worlds on high  to fairer worlds on high  we are marching to zion  beautiful  beautiful zion   we are marching upward to zion  the beautiful city of god we are marching to zion  beautiful  beautiful zion   we are marching upward to zion  the beautiful city of god,amy-grant,christian
unafraid,woke up this morning with you in our bed going over and over everything you said who taught you how to speak the words that you say i have always wanted to be talked to that way love has made has made you unafraid watching my children finding their way thru struggles and triumphs and heartbreak i hope the roads they take are making them strong i will still be on my knees long after they are gone love has made love has made love has made has made me unafraid my lovely mother is getting on in years and the way her body aging brings her girls to tears the way she trembles with each effort she makes she just says heaven getting closer each day love has made love has made love has made has made her unafraid love could make love can make love will make make you unafraid   ,amy-grant,christian
father,father  blessed father it morning again i give you father  myself father continue your plan i know together we can climb mountains in the sky no one can stop us when i am standing by your side when trouble knocking here again i will tell him jesus has me by his hand he will walk me through father  loving father create in me a pure love  father  your love  father instill it in me i remember the nights i have cried for you now i only have to die for you thank you  lord  you have made it clear just for me i see the light it burning out the night  oh  father it morning morning  morning  morning  morning morning  morning  morning  morning morning  morning  morning  morning morning  morning  morning  morning  morning,amy-grant,christian
joy to the worldfor unto us a child is born,amy grant home for christmas joy to the world for unto us a child is born joy to the mostly instrumental,amy-grant,christian
jesu joy of mans desiring,amy grant home for christmas jesu  joy of man desiring instrumental,amy-grant,christian
joy to the world for unto us a child is born, instrumental ,amy-grant,christian
raining on the inside,when all goodbyes are said and done and nighttime finds you home are you all right to spend a night of being all alone  and do you hide between the lines of conversations past  a wall of words a heart unheard that hides behind a mask  i am raining on the inside my heart wells up with tears that start to pour i am raining on the inside but then your cries of love break through and i fall in love with you once more when friends who care ca not be there to ease away my pain and peace of mind it hard to find like sunlight in the rain god sees my heart the deepest part inside this lonely me and reachin  in his love begins to heal the heart in me i am raining on the inside oh  my heart wells up with tears that start to pour i am raining on the inside but then your cries of love break through and i fall in love with you once more sometimes we are raining on the inside and our hearts well up with tears that start to pour but when we are raining on the inside let his cries of love break through know that he loves you  once more sometimes i am raining on the inside but then your cries of love break through and i fall in love with you once more,amy-grant,christian
christmas lullaby i will lead you home,are you far away from home this dark and lonely night tell me what best would help to ease your mind someone to give direction for this unfamiliar road or one who says   follow me and i will lead you home   how beautiful how precious the savior of old to love so completely the loneliest soul how gently how tenderly he says to one and all  child you can follow me and i will lead you home trust me and follow me and i will lead you home   be near me  lord jesus i ask thee to stay close by me forever and love me i pray bless all the dear children in thy tender care and take us to heaven to live with thee there take us to heaven to live with thee there,amy-grant,christian
overnight,so  you have handed in your resignation contemplating why nothing turns out right a little fed up with all the disappointment so what the point in wasting any time  it only temporary  so what your hurry  no need to worry  do not you know that  if it all just happened overnight you would not know how much it means yeah  if it all just happened overnight you would never learn to believe in what you cannot see oh  what you cannot see i feel like my pace is at a standstill do i wait till it falls into my hands  a long highway ahead  getting started steady hearted is what i think i am there something to be said for experience who knows what ahead  keep on going if it all just happened overnight you would not know how much it means if it all just happened overnight you would never learn to believe in what you cannot see oh  what you cannot see take it a day  a day at a time one foot in front of the other take it a day  a day at a time no need to hurry  hurry take it a day  a day at a time it will not happen overnight it will not happen overnight have a little faith must appreciate every single day do not give up  no have a little faith must appreciate every single day do not give up  no if it all just happened overnight you would not know how much it means yeah  if it all just happened overnight you would never learn to believe in what you cannot see if it all just happened overnight you would not know how much it means if it all just happened overnight you would never learn to believe in what you cannot see have a little faith must appreciate every single day do not give up  no have a little faith must appreciate every single day do not give up  no,amy-grant,christian
fields of plenty,be still  my soul  the lord is on thy side bear patiently the cross of grief or pain leave to thy god to order and provide in every change  he  faithful will remain be still  my soul  thy best  thy heavenly friend through thorny ways  leads to a joyful end be still  my soul  thy god doth undertake to guide the future as he has the past thy hope  thy confidence  let nothing shake all now mysterious will be bright at last delight yourselves in the lord yes and find your joy in him be known for your gentleness and never forget the nearness of our god and do not worry  whatever is going to come just tell god every detail and the peace of god that no one understands will come to you no  do not worry  just tell him every detail and his peace will come to you,amy-grant,christian
shovel in hand with will hoge,life can change in the blink of an eye you do not know when and you do not know why  forever young  is a big fat lie for the one who lives and the one who dies i watched my son   shovel in hand go from bulletproof boy to a full grown man the cool dark dirt on the casket lands nineteen years old and he buryin  a friend goodbye two boys  hello one man this son of mine will leave in the fall new friends might ask why he stand so tall his life was changed with a telephone call not even he understands it all i watched my son   shovel in hand go from bulletproof boy to a full grown man the cool dark dirt on the casket lands nineteen years old and he buryin  a friend goodbye two boys  hello one man i watched my son   shovel in hand go from bulletproof boy to a full grown man,amy-grant,christian
all that i need is you,lord  you know it been a busy day and i am just weary to my bones i hope you will understand if i do not pray but i need my rest to carry on why do i kid myself  you see my heart the me i try so to ignore and lord  you see how very weak i am i just can not hide it anymore but all of a sudden i knew that i would never be wanting as long as i am leaning on you oh  lord  all that i need is you every time when the doubting comes and i seem to lose my way when i cry within  cause i need a friend but i just do not say  you know that i need you all at once it clear even though you are here i have tried to make it on my own i am not trustin  you oh  lord  you know that i really need our time together only your strength can see me through so talk with me now as you walk with me now in this quiet time  i am waiting on you  cause all of a sudden i knew that i would never be wanting as long as i am leaning on you oh  lord  all that i need is you  cause all of a sudden i knew that i would never be wanting as long as i am leaning on you oh  lord  all that i need is you all that i need all that i need is you is you  is you is you,amy-grant,christian
shine all your light,here under heaven eyes down under paradise sometimes it seems like we are so small here on the shores that reach into infinity how could we matter much at all  would it be enough if each of us would give our love  like sand on a mountain rain on a fountain shade on a shadow a breeze in this tornado just do what you can clap with one hand and shine all your light in the sun we live to learn to love oh  mercy from above amazing grace  like rain comes falling down we sing our hearts to you our song of gratitude the voice of every soul how sweet the sound we can only trust all our prayers will all add up like sand on a mountain rain on a fountain shade on a shadow a breeze in this tornado just do what you can clap with one hand and shine all your light in the sun would it be enough if each of us would give our love  like sand on a mountain rain on a fountain shade on a shadow a breeze in this tornado just do what you can clap with one hand and shine all your light in the sun,amy-grant,christian
come thou fount of every blessing,come  thou fount of every blessing tune my heart to sing thy grace streams of mercy  never ceasing call for songs of loudest praise teach me  ever to adore thee may i still thine goodness prove while the hope of endless glory fills my heart with joy and love oh  to grace  how great a debtor daily i am constrained to be let thy goodness like a fetter bind my wandering heart to thee never let me wander from thee never leave thee  god i love here my heart  take and seal it seal it for thy courts above never let me wander from thee never leave thee  god i love here my heart  take and seal it seal it for thy courts above,amy-grant,christian
joyful joyful we adore thee,joyful  joyful  we adore thee god of glory  lord of love hearts unfold like flowers before thee opening to the sun above melt the clouds of sin and sadness drive the dark of doubt away giver of immortal gladness fill us with the light of day all thy works with joy surround thee earth and heaven reflect thy rays stars and angels sing around thee center of unbroken praise field and forest  vale and mountain flowery medal flashing sea chanting bird and flowing fountain call us to rejoice in thee joyful  joyful joyful  joyful joyful music leads us sunward in the triumph song joyful music leads us sunward in the triumph song of life joyful  joyful joyful  joyful joyful  joyful joyful  joyful,amy-grant,christian
if you have to go away,when i was a younger i used to dream a lot staring into my coffee about how you would love me and write me poetry and want to be with me  yeah well  momma done told me  you might wander far  yeah  but nobody warned me the road would own your heart and so i am saying if you have to go away i will be waiting by the phone and if you have to go away i will put your records on pretend you are still at home now that i am older i sit at home a lot with the kid we have got  yeah the radio playing he really loves his wife i hear the d j  saying  well  momma done told me you might wander far  oh  as long as you hold me more than you hold that guitar i will keep on saying if you have to go away i will leave your shoes beside the bed and if you have to go away i will want to be with you i will be with me instead if you have to go away i will not be sleeping very well but if you have to go away i will be loving you till it cold in hell maybe you will write me this time maybe you will call on a static line saying   do not you ever worry your pretty mind  cause you and me are gonna be fine  and so i am saying if you have to go away i will be waiting by the phone and if you have to go away i will put your records on pretend you are still at home if you have to go away i will leave your shoes beside the bed and if you have to go away i will want to be with you i will be with me instead if you have to go away i will not be sleeping very well but if you have to go away i will be loving you  i will be loving you if you have to go away,amy-grant,christian
rock of ages,rock of ages cleft for me let me hide myself in thee rock of ages  cleft for me let me hide myself in thee let the water and the blood from thy riven side which flowed oh  be of sin the double cure cleanse me from its guilt and power nothing in my hand i bring simply to thy cross i cling nothin  in my hand i bring simply to thy cross i cling naked  come to thee for dress helpless  look to thee for grace vile  i to the fountain fly wash me savior or i die rock of ages cleft for me let me hide myself in thee rock of ages  cleft for me let me hide myself in thee,amy-grant,christian
angels, take this man to prison  the man heard herod say and then four squads of soldiers came and carried him away chained up between two watchmen peter tried to sleep but beyond the walls an endless prayer was lifting for his keep then a light cut through the darkness of a lonely prison cell and the chains that bound the man of god just opened up and fell and running to his people before the break of day there was only one thing on his mind only one thing to say angels watching over me  every move i make angels watching over me angels watching over me  every step i take angels watching over me god only knows the times my life was threatened just today a reckless car ran out of gas before it ran my way near misses all around me accidents unknown though i never see with human eyes the hands that lead me home but i know they are all around me all day and through the night when the enemy is closing in i know sometimes they fight to keep my feet from falling i will never turn away if you are asking what protecting me then you are gonna hear me say got his angels watching over me  every move i make angles watching over me angels watching over me  every step i take angels watching over me angels watching over me angels watching over me got his angels watching over me  every move i make angels watching over me angels watching over me  every step i take angels watching over me angels watching over me angels watching over me angels watching over me angels watching over me though i never see with human eyes the hands that lead me home,amy-grant,christian
our time is now,january  february  march  the days are marching forward april  may  june and july they fly like a hummingbird august  september  october the year is almost over november  december arrive another year  come and gone time is illusion time is a curse time is all these things and worse but our time is now  ohhhhh yes  our time is now  ohhhhh let us sing before our time runs out the sound of your laughter  your smile these things are never changing but monday i blink and it friday i wish we could slow it down saturday  sunday  now monday another week starting over seconds to minutes to hours here what i have found time is illusion time is a curse time is all these things and worse but our time is now  ohhhhh yes  our time is now  ohhhhh let us sing before our time runs out  x2  i wanna sing before my time runs out,amy-grant,christian
anywhere with jesus,anywhere with jesus i can safely go anywhere he leads me in this world below anywhere without him dearest joys would fade anywhere with jesus i am not afraid anywhere  anywhere  any little fear i will never know anywhere with jesus i can safely go anywhere with jesus i am not alone other friends may fail me  he is still my own though his hand may lead me over dreariest ways anywhere with jesus is a house of praise anywhere  anywhere  any little fear i will never know anywhere with jesus i can safely go anywhere with jesus i can go to sleep when the darkening shadows round about me creep knowing i shall waken  never more to roam anywhere with jesus will be home  sweet home anywhere  anywhere  any little fear i will never know anywhere with jesus i can safely go anywhere with jesus i can surely go,amy-grant,christian
nobody home,main street u s a   boarded up and dry knowin  what once was here just makes me wanna cry used to be the favorite place here now what remains are memories even time cannot erase old man johnson store where we grew up too fast all that remains today are echoes from the past used to be a boomin  town yeah now all that left is either broken up or broken down singing   oh ah oh ah oh ah oh  where we used to belong there ai not nobody home said   oh ah oh ah oh ah oh  you can knock all you want but ai not nobody home packed up  moved away  runnin  from the past leavin  behind the dusty dreams and broken glass used to be a busy town now now everybody passes through but they do not stick around singing   oh ah oh ah oh ah oh  where we used to belong there ai not nobody home said   oh ah oh ah oh ah oh  you can knock all you want but ai not nobody home oh was a news stand on the corner right next to the barber shop and down the street there that where all the kids would stop and they would tease the neighbor bulldog laugh and run away now there no one left who knows the truth in what you say  say  now everybody passes through but they do not stick around singing   oh ah oh ah oh ah oh  where we used to belong there ai not nobody home said   oh ah oh ah oh ah oh  you can knock all you want but ai not nobody home  oh ah oh ah oh ah oh  where we used to belong there ai not nobody home talk all you want but ai not nobody home knock all you want but ai not nobody home,amy-grant,christian
breath of heaven marys song,amy grant home for christmas breath of heaven  mary song  i have traveled many moonless nights  cold and weary with a babe inside  and i wonder what i have done  holy father you have come  and chosen me now to carry your son  i am waiting in a silent prayer  i am frightened by the load i bear  in a world as cold as stone  must i walk this path alone  be with me now  be with me now  breath of heaven  hold me together  be forever near me  breath of heaven  breath of heaven  lighten my darkness  pour over me your holiness  for you are holy  breath of heaven  do you wonder as you watch my face  if a wiser one should have had my place  but i offer all i am for the mercy of your plan  help me be strong  help me be  help me  breath of heaven  hold me together  be forever near me  breath of heaven  breath of heaven  lighten my darkness  pour over me your holiness  for you are holy  breath of heaven  hold me together  be forever near me  breath of heaven  breath of heaven  lighten my darkness  pour over me your holiness  for you are holy  breath of heaven  breath of heaven  breath of heaven ,amy-grant,christian
